0	0.35	19350	239	0.09
1	16.89	1601024	12697	4.26
2	146.80	1789195123	101616	37.19
3	58.89	1089422	42958	14.99
0	0.29	18345	224	0.09
1	144.32	4168887206	74615	36.87
2	254.99	3442096840	172023	64.82
3	7.55	261215	5801	1.92
0	0.13	4502	103	0.08
1	30.92	1141847644	15133	7.82
2	70.41	86585556	55555	17.97
3	28.93	351530	22513	7.27
0	44.96	44250	31643	11.37
1	25.54	1421888889	7988	6.46
2	6.16	45293129	3561	1.56
3	96.22	680400	68659	24.64
0	0.21	12220	162	0.09
1	15.61	585080392	7890	4.00
2	204.08	1254913526	145160	52.10
3	41.95	187526	29416	10.68
0	0.25	18274	163	0.10
1	5.83	262044681	1542	1.54
2	140.98	334800603	101453	35.46
3	80.14	3412162	60156	20.16
0	0.21	4354	164	0.08
1	23.16	803306162	10776	5.92
2	210.75	3754667087	136756	53.24
3	155.06	1667138	115032	39.20
0	0.29	34257	204	0.10
1	19.89	1980208588	204	5.08
2	141.55	931568536	102258	35.72
3	3.50	1342051	2500	0.92
0	0.20	7822	128	0.10
1	21.29	513686474	12202	5.36
2	106.31	1193363094	74813	26.97
3	116.09	2153563	89073	29.47
0	0.26	24040	175	0.11
1	98.66	522488263	66528	24.89
2	63.67	1808807885	36827	16.17
3	77.40	603707	58463	19.51
0	0.25	19206	184	0.08
1	129.45	3769352633	69245	32.59
2	487.00	2865682294	344267	123.59
3	131.75	3142065	101396	33.46
0	0.08	18411	63	0.04
1	6.96	386098429	2340	1.85
2	18.64	473388997	10429	4.92
3	64.98	1610161	49221	16.35
0	0.34	13517	236	0.10
1	17.05	320521773	9974	4.39
2	15.52	72092419	11720	3.96
3	59.88	418514	44271	15.13
0	0.19	9414	105	0.10
1	9.89	607786662	1735	2.52
2	29.41	265800347	20489	7.40
3	97.88	1246116	70969	24.81
0	86.82	79722	65657	22.08
1	3.93	136012088	2007	1.00
2	4.33	103522546	2528	1.10
3	56.87	719102	43508	14.28
0	0.11	7473	74	0.05
1	4.95	89072965	2506	1.27
2	101.82	191282084	69592	25.74
3	94.02	1029527	72248	23.96
0	0.04	9998	31	0.02
1	101.68	1141941424	66034	26.20
2	419.96	2684287651	302744	106.43
3	528.58	6928844	399832	134.44
0	0.27	1836	171	0.10
1	7.95	644346314	1252	2.02
2	98.67	949677564	66364	25.10
3	8.72	1195283	6891	2.24
0	0.12	14430	83	0.06
1	6.30	60426248	4181	1.62
2	113.71	490475617	82886	28.70
3	35.86	1649522	26596	9.20
0	0.11	9457	79	0.04
1	6.27	524558434	731	1.61
2	111.35	1169371528	78885	28.16
3	212.57	4345497	165018	53.81
0	0.20	36991	149	0.08
1	14.65	1198500483	1911	3.83
2	138.22	2964675551	83642	35.13
3	146.74	2227550	108426	37.27
0	0.27	5100	174	0.11
1	6.23	549971444	503	1.64
2	42.62	1013951588	25105	10.86
3	204.57	2773145	156072	51.66
0	0.06	22559	47	0.03
1	10.86	708069290	2602	2.78
2	307.28	2060906620	212074	77.89
3	1.00	588245	708	0.28
0	0.21	13634	144	0.10
1	8.24	772603663	211	2.10
2	10.80	792268261	2509	2.74
3	115.40	1623000	85338	29.57
0	0.19	10828	122	0.09
1	10.22	760167728	1995	2.65
2	141.51	1322343526	98897	35.94
3	87.96	585472	68594	22.49
0	0.24	22393	164	0.09
1	14.68	892354839	4527	3.69
2	19.15	185059390	13286	4.81
3	7.21	2307633	4624	1.84
0	0.03	4409	23	0.02
1	10.08	900441594	953	2.60
2	7.07	235674783	2972	1.81
3	285.98	4119941	217719	72.73
0	0.65	10444	466	0.23
1	110.90	1555726018	71390	28.25
2	118.73	1655792749	78894	30.13
3	370.84	4056031	286584	94.00
0	0.25	10870	171	0.09
1	19.95	920626958	7621	5.19
2	1021.47	7032678910	725437	258.91
3	15.69	1027260	11981	4.07
0	0.28	5429	180	0.11
1	3.35	158205792	1238	0.87
2	102.69	1145753489	69421	26.16
3	358.04	5889144	262639	91.25
0	0.28	23638	213	0.08
1	26.14	197225929	18684	6.64
2	10.51	524165007	4134	2.69
3	17.27	219807	13262	4.38
0	0.17	2689	113	0.10
1	11.40	8331686	6663	2.90
2	224.23	954311106	162603	57.12
3	104.14	518147	79860	26.63
0	0.18	30635	140	0.08
1	1.06	39008708	479	0.29
2	2.26	57864530	1254	0.58
3	4.87	960005	3801	1.26
0	0.25	18280	176	0.09
1	5.12	325340129	981	1.31
2	146.96	1786148471	98285	37.62
3	185.44	1437820	142406	47.11
0	0.53	9118	417	0.16
1	8.16	185899868	4972	2.11
2	8.94	645964349	1990	2.28
3	38.23	959353	27728	9.62
0	0.18	17284	142	0.08
1	6.19	139904092	3551	1.57
2	444.96	3008290832	312775	112.60
3	29.56	802406	21722	7.51
0	0.24	12276	191	0.08
1	9.20	728787942	1469	2.44
2	119.89	464618002	89916	30.59
3	21.28	1392060	16995	5.38
0	0.17	14375	134	0.08
1	15.56	272280787	9922	4.02
2	105.04	1538284275	72388	26.49
3	23.64	538878	17681	6.06
0	0.24	18240	187	0.08
1	7.72	371068976	3039	2.01
2	7.07	584085649	998	1.80
3	9.59	225731	7124	2.49
0	0.21	7373	165	0.08
1	6.50	404604237	1982	1.67
2	32.22	1488635117	12022	8.20
3	19.30	229490	15231	4.91
0	0.32	6467	176	0.13
1	34.11	133909486	24810	8.61
2	119.82	1261764825	79068	30.32
3	93.34	1821453	67280	23.65
0	0.14	9648	103	0.06
1	13.25	756241355	4550	3.35
2	15.47	458212967	8238	3.98
3	284.80	4753423	215077	72.55
0	0.24	6037	193	0.08
1	16.02	364593862	9698	4.07
2	15.32	504858572	7121	4.09
3	50.18	510922	37677	12.72
0	0.28	12052	226	0.08
1	4.92	477792409	225	1.24
2	203.76	2349559222	137923	52.19
3	167.05	3232986	128683	42.16
0	0.08	21473	66	0.03
1	14.28	919122644	4036	3.66
2	18.84	777799340	8690	4.78
3	6.97	722039	5596	1.79
0	0.34	30250	207	0.10
1	8.98	257156998	4471	2.28
2	157.46	1067526301	116974	40.12
3	6.82	2654500	4898	1.74
0	0.27	9342	212	0.08
1	8.36	360409141	3683	2.16
2	369.34	2444261947	264134	94.37
3	2.33	1039184	1754	0.62
0	0.19	4818	152	0.08
1	6.60	475591800	1338	1.71
2	222.09	508198318	167259	56.48
3	86.83	841806	66763	22.01
0	0.20	33877	156	0.08
1	20.52	1642729656	2260	5.37
2	113.02	1253615747	75462	28.78
3	15.89	475740	12036	4.04
0	0.25	15542	184	0.09
1	10.22	706388070	2447	2.62
2	307.97	5949156377	186767	77.94
3	5.71	1399437	3278	1.47
0	0.26	13836	127	0.11
1	7.93	204234342	4037	2.14
2	121.95	41968147	90474	31.14
3	194.76	3049845	148731	49.34
0	0.45	16587	360	0.16
1	15.84	682565489	7188	4.02
2	102.58	664717967	67116	26.21
3	5.45	510979	4286	1.43
0	0.24	14755	163	0.09
1	5.24	479443370	212	1.32
2	15.87	16435562	11991	4.04
3	2.77	543022	2008	0.71
0	0.28	28243	225	0.08
1	4.72	380184494	758	1.19
2	239.48	2904660657	162555	60.54
3	19.20	300146	13259	4.89
0	0.25	5081	190	0.08
1	3.29	180616639	723	0.85
2	124.78	1303441299	86233	31.46
3	0.59	353151	447	0.17
0	0.29	9848	237	0.08
1	15.69	1071889571	3897	3.98
2	2.13	75636249	963	0.58
3	25.01	471284	19494	6.32
0	0.09	19836	51	0.04
1	8.15	336894135	3527	2.08
2	7.45	510226157	1716	1.92
3	1.44	1949216	1001	0.39
0	0.24	5270	199	0.08
1	0.86	17144262	492	0.23
2	84.45	1119627642	55539	21.22
3	85.78	1092447	66489	21.93
0	0.34	9700	227	0.10
1	2.52	132408805	487	0.64
2	12.04	146729052	7371	3.09
3	344.50	3612519	262710	87.06
0	0.22	14854	150	0.09
