124.1_para_linear_biomes	11.67	760585441	2098	2.95	3
124.1_para_linear_biomes	16.45	800966898	5267	4.17	3
124.1_para_linear_biomes	12.01	941289489	998	3.03	3
124.1_para_linear_biomes	14.70	1025295903	1479	3.70	3
124.1_para_linear_biomes	19.76	650955752	8839	5.01	3
124.1_para_linear_biomes	26.60	1520959395	6539	6.70	3
124.1_para_linear_biomes	41.36	2717234809	6270	10.42	3
124.1_para_linear_biomes	29.55	941868425	13668	7.45	3
124.1_para_linear_biomes	19.61	1479347168	1031	4.92	3
124.1_para_linear_biomes	31.37	1722209304	8617	7.86	3
124.1_para_linear_biomes	16.05	1258079120	1087	4.02	3
124.1_para_linear_biomes	38.86	2102316412	10381	9.79	3
124.1_para_linear_biomes	3.98	315496412	242	1.00	3
124.1_para_linear_biomes	50.61	3284677530	8652	12.72	3
124.1_para_linear_biomes	31.86	1588190609	10108	8.01	3
124.1_para_linear_biomes	21.18	1649813215	1309	5.38	3
124.1_para_linear_biomes	9.79	617471163	1916	2.48	3
124.1_para_linear_biomes	13.52	1094431893	785	3.38	3
124.1_para_linear_biomes	26.89	1815079023	4357	6.74	3
124.1_para_linear_biomes	19.76	1031594713	5552	4.99	3
124.1_para_linear_biomes	27.00	1336663261	8317	6.80	3
124.1_para_linear_biomes	25.82	1697558793	4810	7.61	3
124.1_para_linear_biomes	5.60	399644385	772	1.40	3
124.1_para_linear_biomes	35.26	2666634800	3043	8.87	3
124.1_para_linear_biomes	14.87	1188191657	341	3.72	3
124.1_para_linear_biomes	38.73	1890825205	12416	9.72	3
124.1_para_linear_biomes	7.67	457879642	1756	1.95	3
124.1_para_linear_biomes	3.88	278170266	515	0.99	3
124.1_para_linear_biomes	39.07	607835737	22725	9.83	3
124.1_para_linear_biomes	10.98	831975104	1154	2.75	3
124.1_para_linear_biomes	8.76	641873702	1111	2.19	3
124.1_para_linear_biomes	16.37	1218706570	1459	4.11	3
124.1_para_linear_biomes	39.31	2052430703	11245	9.88	3
124.1_para_linear_biomes	16.17	1183370582	1655	4.05	3
124.1_para_linear_biomes	36.50	2703104610	3572	9.17	3
124.1_para_linear_biomes	7.82	606875100	436	1.97	3
124.1_para_linear_biomes	42.39	1947063148	14547	10.68	3
124.1_para_linear_biomes	6.99	490103788	850	1.75	3
124.1_para_linear_biomes	15.70	1152086450	1754	3.96	3
124.1_para_linear_biomes	16.43	1057550120	2872	4.14	3
124.1_para_linear_biomes	8.69	644696543	755	2.23	3
124.1_para_linear_biomes	14.86	793030443	3764	3.78	3
124.1_para_linear_biomes	14.19	1057572660	1335	3.56	3
124.1_para_linear_biomes	39.81	2556253574	7482	10.08	3
124.1_para_linear_biomes	45.36	3575094260	2034	11.39	3
124.1_para_linear_biomes	19.09	582013222	9068	4.83	3
124.1_para_linear_biomes	7.55	629652741	235	1.89	3
124.1_para_linear_biomes	25.02	1739228576	3827	6.31	3
124.1_para_linear_biomes	22.02	1644527505	1908	5.54	3
124.1_para_linear_biomes	14.45	1182644568	758	3.61	3
124.1_para_linear_biomes	56.39	2121789800	23474	14.15	3
124.1_para_linear_biomes	17.19	1430585393	419	4.36	3
124.1_para_linear_biomes	21.74	1476681038	3615	5.45	3
124.1_para_linear_biomes	17.19	1274219263	1299	4.30	3
124.1_para_linear_biomes	4.98	369917290	516	1.25	3
124.1_para_linear_biomes	25.59	1549321638	5169	6.42	3
124.1_para_linear_biomes	21.91	1027399265	6991	5.52	3
124.1_para_linear_biomes	17.11	890251273	5034	4.33	3
124.1_para_linear_biomes	2.07	148456202	274	0.52	3
124.1_para_linear_biomes	51.63	2994613012	13328	12.98	3
124.1_para_linear_biomes	20.12	1391784794	2123	5.07	3
124.1_para_linear_biomes	41.21	2048377760	13304	10.39	3
124.1_para_linear_biomes	9.62	831952094	184	2.48	3
124.1_para_linear_biomes	6.37	487779758	551	1.59	3
124.1_para_linear_biomes	11.97	866151187	1446	3.05	3
124.1_para_linear_biomes	27.10	2031346327	2800	6.84	3
124.1_para_linear_biomes	7.63	591051496	458	1.91	3
124.1_para_linear_biomes	8.16	698388185	54	2.05	3
124.1_para_linear_biomes	4.52	328367803	566	1.13	3
124.1_para_linear_biomes	74.19	3354148561	25390	18.66	3
124.1_para_linear_biomes	4.89	367032689	45	1.22	3
124.1_para_linear_biomes	17.39	1054247905	3617	4.41	3
124.1_para_linear_biomes	12.08	721391006	2796	3.06	3
124.1_para_linear_biomes	44.98	2256713907	13717	11.33	3
124.1_para_linear_biomes	62.50	3022105773	19635	15.71	3
124.1_para_linear_biomes	7.95	610411942	839	2.01	3
124.1_para_linear_biomes	17.95	1025401200	4293	4.55	3
124.1_para_linear_biomes	13.53	1000134511	1202	3.40	3
124.1_para_linear_biomes	32.26	2593327944	827	8.28	3
124.1_para_linear_biomes	51.11	4319317115	951	12.89	3
124.1_para_linear_biomes	15.73	1089253917	1966	3.98	3
124.1_para_linear_biomes	18.32	1199165826	3316	4.60	3
124.1_para_linear_biomes	8.75	749347299	55	2.33	3
124.1_para_linear_biomes	12.63	991285931	961	3.20	3
124.1_para_linear_biomes	22.37	1507891371	3372	5.61	3
124.1_para_linear_biomes	62.35	3131439463	18589	15.68	3
124.1_para_linear_biomes	2.55	189340168	160	0.64	3
124.1_para_linear_biomes	9.10	768063382	189	2.32	3
124.1_para_linear_biomes	8.44	557969531	1518	2.15	3
124.1_para_linear_biomes	4.75	319967711	612	1.19	3
124.1_para_linear_biomes	31.15	2507088943	1680	7.97	3
124.1_para_linear_biomes	17.33	1109331551	3313	4.38	3
124.1_para_linear_biomes	15.15	1201974027	1187	3.81	3
124.1_para_linear_biomes	21.65	385510433	12562	5.46	3
124.1_para_linear_biomes	14.36	1137869323	868	3.60	3
124.1_para_linear_biomes	67.14	2848507861	23473	16.90	3
124.1_para_linear_biomes	30.13	1533263058	8862	7.59	3
124.1_para_linear_biomes	14.45	555583499	5852	3.67	3
124.1_para_linear_biomes	28.04	2056091227	3041	7.07	3
124.1_para_linear_biomes	40.43	1412540845	17405	10.18	3
124.1_para_linear_biomes	15.11	1008409440	2340	3.79	3
124.1_para_linear_biomes	13.92	894254075	2798	3.56	3
124.1_para_linear_biomes	19.80	1467139810	2046	5.02	3
124.1_para_linear_biomes	23.11	1715779862	2295	5.83	3
124.1_para_linear_biomes	8.40	242115906	4010	2.15	3
124.1_para_linear_biomes	4.28	285320401	518	1.07	3
124.1_para_linear_biomes	26.59	2260043483	386	6.67	3
124.1_para_linear_biomes	12.22	502478941	4201	3.09	3
124.1_para_linear_biomes	9.53	684557544	1297	2.39	3
124.1_para_linear_biomes	1.17	38236860	75	0.30	3
124.1_para_linear_biomes	19.49	1225222213	3864	4.91	3
124.1_para_linear_biomes	10.44	799097018	644	2.61	3
124.1_para_linear_biomes	26.79	2198495228	849	6.71	3
124.1_para_linear_biomes	16.60	1113374848	2191	4.16	3
124.1_para_linear_biomes	30.64	1402686746	10752	7.73	3
124.1_para_linear_biomes	39.42	2808478299	4660	9.98	3
124.1_para_linear_biomes	28.21	2167118194	2234	7.07	3
124.1_para_linear_biomes	11.71	958950712	532	2.93	3
124.1_para_linear_biomes	24.26	902012572	10261	6.13	3
124.1_para_linear_biomes	4.39	262330599	804	1.14	3
